SUBJECT_COURSE_SECTION,COURSE_TITLE,PRIMARY_INSTRUCTOR_NAME,SECONDARY_INSTRUCTOR_NAME,A_PLUS,A,A_MINUS,B_PLUS,B,B_MINUS,C_PLUS,C,C_MINUS,D_PLUS,D,D_MINUS,F,WITHDRAWN,SEMESTER,YEAR,LACKS_PLUS_MINUS
KNES:D006A:51Z,AEROBIC POWER WALKING,Rachel Catuiza,,0,12,0,0,2,0,0,1,0,0,0,0,0,3,Summer,2021,0
KNES:D019E:51Z,BODY SCULPTING,Rachel Catuiza,,0,6,0,0,1,0,0,0,0,0,0,0,0,2,Summer,2021,0
KNES:D019G:51Z,CORE CONDITIONING,Rachel Catuiza,,0,8,0,0,0,0,0,0,0,0,0,0,1,1,Summer,2021,0
KNES:D045.:64Z,INTRO TO KINESIOLOGY,Cheryl Owiesny,,0,16,1,2,2,3,0,3,0,0,0,1,2,4,Summer,2021,0
KNES:D045.:65Z,INTRO TO KINESIOLOGY,Arden Kragalott,,4,16,5,2,1,3,0,2,0,0,0,0,0,1,Summer,2021,0
KNES:D047.:64Z,INTRO TO WOMEN IN SPORTS,Dawnis Guevara,,0,14,2,0,1,0,0,0,0,0,0,0,1,0,Summer,2021,0
KNES:D050A:64Z,ORIENTATION LIFETIME FITNESS,Jason Damjanovic,,5,6,0,1,0,0,0,0,0,0,0,1,2,1,Summer,2021,0
KNES:D052.:65Z,PHYSICAL STRESS MANAGEMENT,Rachel Catuiza,,0,19,0,0,3,0,0,2,0,0,1,0,4,4,Summer,2021,0
KNES:D054.:64Z,INTRO TO SPORT IN SOCIETY,Rachel Catuiza,,0,12,0,0,3,0,0,0,0,0,0,0,2,0,Summer,2021,0
KNES:D09AX:50Z,INTERACT CARDIOVAS FITNESS 1,Cheryl Owiesny,,0,14,3,0,0,5,1,0,0,0,1,0,6,1,Summer,2021,0
KNES:D11AX:51Z,CARDIO KICK,Farzaneh Ghiasvand,,0,15,0,0,0,0,0,2,0,0,1,0,1,1,Summer,2021,0
KNES:D15CX:50Z,TOTAL FITNESS,Farzaneh Ghiasvand,,0,7,0,0,0,0,0,1,0,0,0,0,0,0,Summer,2021,0
KNES:D15CX:51Z,TOTAL FITNESS,Dawnis Guevara,,0,19,1,0,0,0,0,0,0,0,0,0,0,0,Summer,2021,0
KNES:D15EX:50Z,CARDIO AND STRENGTH TRAINING,Farzaneh Ghiasvand,,0,4,0,0,1,0,0,0,0,0,0,0,2,1,Summer,2021,0
KNES:D15EX:51Z,CARDIO AND STRENGTH TRAINING,Dawnis Guevara,,0,19,0,1,1,0,0,0,0,0,0,0,0,1,Summer,2021,0
KNES:D19GX:50Z,CORE CONDITIONING,Danielle Altman,,2,4,1,0,0,1,1,2,0,0,0,0,0,0,Summer,2021,0
KNES:D22AX:50Z,HATHA YOGA,Mark Johnson,,0,18,0,1,1,0,0,0,0,0,0,0,1,0,Summer,2021,0
